"sexo";"faixa_etaria";"estado_nasc";"estado_civil";"cidade_nasc";"inst_origem";"classe_bairro"
"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"PRIVADA";"D"
"MASCULINO";"Entre 25 a 29 anos";"BA";"CASADO";"SALVADOR";"PUBLICA";"D"
"FEMININO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"PUBLICA";"E"
"MASCULINO";"Acima de 34 anos";"BA";"DIVORCIADO";"SALVADOR";"PUBLICA";"E"
"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"PUBLICA";"E"
"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"PUBLICA";"E"
"MASCULINO";"Entre 30 a 34 anos";"BA";"SOLTEIRO";"SALVADOR";"PUBLICA";"E"
"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"PUBLICA";"E"
"FEMININO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"PRIVADA";"E"
"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"PRIVADA";"E"
"FEMININO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"PUBLICA";"E"
"MASCULINO";"Entre 15 a 19 anos";"BA";"SOLTEIRO";"SALVADOR";"NAO INFORMADO";"E"
"MASCULINO";"Entre 30 a 34 anos";"BA";"SOLTEIRO";"SALVADOR";"PUBLICA";"E"
"MASCULINO";"Entre 15 a 19 anos";"BA";"SOLTEIRO";"SALVADOR";"PUBLICA";"E"
"MASCULINO";"Entre 30 a 34 anos";"BA";"SOLTEIRO";"SALVADOR";"PUBLICA";"E"
"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"PRIVADA";"E"
"MASCULINO";"Acima de 34 anos";"BA";"UNIAO ESTAVEL";"SALVADOR";"PUBLICA";"E"
"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"PRIVADA";"E"
"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"OUTRAS CIDADES";"NAO INFORMADO";"CNI"
"MASCULINO";"Entre 15 a 19 anos";"BA";"SOLTEIRO";"SALVADOR";"NAO INFORMADO";"E"
"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"PRIVADA";"E"
"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"NAO INFORMADO";"E"
"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"PUBLICA";"E"
"MASCULINO";"Entre 20 a 24 anos";"BA";"SEPARADO";"SALVADOR";"NAO INFORMADO";"E"
"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"PUBLICA";"E"
"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"NAO INFORMADO";"E"
"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"PUBLICA";"E"
"MASCULINO";"Entre 25 a 29 anos";"BA";"CASADO";"SALVADOR";"PUBLICA";"E"
"MASCULINO";"Entre 30 a 34 anos";"BA";"SOLTEIRO";"SALVADOR";"PRIVADA";"E"
"MASCULINO";"Entre 25 a 29 anos";"BA";"CASADO";"SALVADOR";"PUBLICA";"E"
"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"PUBLICA";"E"
"FEMININO";"Entre 25 a 29 anos";"BA";"CASADO";"SALVADOR";"PUBLICA";"E"
"FEMININO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"NAO INFORMADO";"CNI"
"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"OUTRAS CIDADES";"PUBLICA";"CNI"
"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"PRIVADA";"C"
"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"PRIVADA";"C"
"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"PRIVADA";"C"
"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"NAO INFORMADO";"E"
"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"PUBLICA";"E"
"MASCULINO";"Entre 30 a 34 anos";"BA";"SOLTEIRO";"SALVADOR";"PUBLICA";"E"
"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"PUBLICA";"E"
"FEMININO";"Entre 25 a 29 anos";"BA";"UNIAO ESTAVEL";"SALVADOR";"PUBLICA";"E"
"MASCULINO";"Entre 15 a 19 anos";"BA";"SOLTEIRO";"SALVADOR";"PUBLICA";"E"
"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"OUTRAS CIDADES";"NAO INFORMADO";"CNI"
"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"PUBLICA";"E"
"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"NAO INFORMADO";"E"
"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"PUBLICA";"E"
"FEMININO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"PUBLICA";"E"
"MASCULINO";"Entre 15 a 19 anos";"BA";"SOLTEIRO";"SALVADOR";"NAO INFORMADO";"E"
"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"PUBLICA";"E"
"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"PUBLICA";"E"
"FEMININO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"PUBLICA";"E"
"MASCULINO";"Entre 30 a 34 anos";"BA";"SOLTEIRO";"SALVADOR";"NAO INFORMADO";"E"
"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"PRIVADA";"E"
"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"PUBLICA";"E"
"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"PUBLICA";"D"
"MASCULINO";"Acima de 34 anos";"BA";"SOLTEIRO";"SALVADOR";"PUBLICA";"D"
"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"PRIVADA";"D"
"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"PUBLICA";"E"
"FEMININO";"Entre 30 a 34 anos";"BA";"SOLTEIRO";"SALVADOR";"PUBLICA";"E"
"FEMININO";"Acima de 34 anos";"BA";"UNIAO ESTAVEL";"SALVADOR";"PUBLICA";"E"
"MASCULINO";"Acima de 34 anos";"BA";"SOLTEIRO";"SALVADOR";"PUBLICA";"C"
